                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.7144,                 1.6885,                 1.8305,                0.60728,                0.50606,                0.55306,                0.28209,                 1.6765,                 1.6774,                 1.8707,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.7316,                 1.7356,                 1.8808,                0.59829,                 0.4697,                0.51054,                0.26328,                 1.7264,                 1.7187,                 1.9206,                0.00101,                0.00101,                0.00101
                     52,                 1.7381,                 1.6654,                 1.8562,                0.68305,                0.45152,                 0.5409,                0.26269,                 1.7884,                 1.7285,                 1.9157,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.7891,                 1.6812,                 1.9849,                0.67373,                0.47879,                0.55512,                0.29584,                 1.6672,                 1.6431,                 1.8689,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.6843,                 1.6444,                 1.8041,                0.54214,                0.46061,                0.50187,                0.25888,                 1.7616,                 1.7209,                  1.903,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.6598,                 1.6517,                 1.8415,                0.70456,                0.45758,                0.56233,                0.29234,                 1.7194,                 1.6196,                 1.8706,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.6681,                 1.6515,                 1.8361,                0.63042,                0.49623,                0.55213,                0.29317,                 1.7333,                 1.6516,                 1.8656,               0.000911,               0.000911,               0.000911
                     57,                 1.6672,                 1.5929,                 1.8118,                0.58724,                0.52121,                0.57302,                0.30464,                 1.6839,                 1.6336,                  1.829,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.6563,                 1.5925,                 1.7879,                0.64195,                0.52727,                  0.603,                 0.3166,                 1.6789,                   1.56,                 1.8376,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.6846,                 1.5827,                 1.8031,                0.64752,                0.47576,                0.57233,                0.29809,                 1.6686,                 1.6289,                 1.8507,              0.0008516,              0.0008516,              0.0008516
                     60,                  1.699,                 1.6451,                 1.8336,                0.62526,                 0.4697,                0.54775,                0.29251,                 1.6812,                 1.6483,                 1.8251,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6642,                 1.5678,                 1.7787,                0.61676,                0.55108,                0.58908,                0.30546,                 1.6617,                 1.6278,                 1.8275,               0.000812,               0.000812,               0.000812
                     62,                 1.6555,                 1.5427,                 1.7749,                0.68351,                0.51212,                 0.5864,                0.31482,                 1.6237,                 1.5614,                 1.8123,              0.0007922,              0.0007922,              0.0007922
                     63,                  1.606,                 1.5583,                 1.7471,                0.56809,                0.51818,                0.55544,                0.29975,                 1.6183,                 1.5959,                 1.7846,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6311,                 1.5541,                 1.7763,                0.69332,                0.52121,                0.60415,                 0.3269,                 1.6509,                 1.5496,                 1.7998,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6262,                 1.5517,                 1.7683,                0.62939,                0.53333,                0.59145,                0.31962,                 1.6354,                 1.5627,                 1.7952,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.5888,                 1.5535,                 1.7503,                0.73519,                0.48485,                0.61474,                0.32732,                  1.634,                 1.5302,                  1.773,               0.000713,               0.000713,               0.000713
                     67,                 1.6214,                 1.5149,                 1.7648,                0.64064,                0.51212,                0.58504,                0.32215,                 1.6135,                 1.5433,                  1.801,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.6012,                 1.5117,                 1.7156,                 0.6951,                0.52424,                0.61214,                0.34112,                  1.603,                 1.4906,                 1.7471,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.577,                 1.5219,                 1.7261,                0.70998,                0.51212,                0.60707,                0.34282,                 1.5931,                 1.5029,                 1.7622,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.5912,                 1.5187,                 1.7576,                0.70332,                0.51818,                0.61763,                0.33404,                 1.6076,                 1.4961,                 1.7916,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6051,                  1.517,                 1.7339,                0.67723,                0.53408,                 0.6119,                0.33858,                 1.6117,                 1.4703,                 1.7664,               0.000614,               0.000614,               0.000614
                     72,                 1.5856,                 1.5118,                 1.7147,                0.69609,                0.55758,                0.62825,                0.34055,                 1.6025,                 1.4466,                 1.7584,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.5881,                  1.464,                  1.718,                 0.6873,                0.53939,                0.62262,                0.33493,                 1.6015,                 1.4692,                 1.7628,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.5808,                 1.4727,                 1.7289,                0.78042,                0.49542,                0.62691,                0.34302,                 1.5687,                 1.4664,                 1.7253,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.6258,                 1.5152,                 1.7399,                 0.7061,                0.54242,                0.64272,                0.35685,                  1.564,                 1.4412,                 1.7311,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5846,                  1.474,                 1.7036,                0.66069,                0.57879,                0.63675,                0.34581,                 1.5725,                 1.4302,                 1.7321,               0.000515,               0.000515,               0.000515
                     77,                 1.6029,                 1.4908,                 1.7437,                0.77726,                0.50303,                0.63663,                0.34215,                 1.5955,                 1.4755,                 1.7328,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.5748,                 1.4684,                 1.7096,                0.69716,                0.53939,                0.64214,                0.35464,                 1.5514,                 1.4364,                 1.7122,              0.0004754,              0.0004754,              0.0004754
                     79,                   1.54,                 1.4015,                 1.6712,                0.66628,                0.54242,                0.63624,                0.34086,                 1.5926,                 1.4365,                 1.7437,              0.0004556,              0.0004556,              0.0004556
                     80,                  1.558,                 1.4014,                 1.6588,                0.73468,                0.52865,                0.63612,                0.34475,                   1.59,                 1.4393,                 1.7402,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.5558,                 1.4323,                 1.6856,                0.67294,                 0.5303,                 0.6193,                0.34198,                 1.5744,                 1.4653,                 1.7266,               0.000416,               0.000416,               0.000416
                     82,                 1.5654,                 1.4119,                 1.7122,                0.77597,                0.50606,                0.63526,                0.34595,                 1.5794,                 1.4305,                 1.7414,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.5398,                 1.4402,                 1.6641,                0.65839,                0.56061,                0.64471,                 0.3489,                 1.5823,                 1.4147,                 1.7267,              0.0003764,              0.0003764,              0.0003764
                     84,                  1.556,                 1.4101,                 1.7012,                0.69063,                0.54848,                 0.6432,                0.35222,                 1.5647,                 1.4106,                 1.7382,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.5519,                 1.4777,                 1.6821,                0.70894,                0.55356,                0.65463,                0.35815,                 1.5804,                 1.3989,                 1.7466,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.5411,                 1.4217,                 1.6735,                0.68141,                0.56364,                 0.6462,                0.35844,                 1.5509,                 1.4108,                  1.698,               0.000317,               0.000317,               0.000317
                     87,                  1.533,                 1.3984,                 1.6754,                0.60882,                0.59697,                0.64978,                 0.3554,                  1.554,                  1.412,                 1.6987,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.531,                 1.4098,                 1.6977,                0.67301,                0.54263,                0.63506,                0.35433,                 1.5616,                 1.4268,                 1.7135,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.5126,                 1.3687,                 1.6449,                 0.6951,                0.52424,                0.64497,                0.35457,                 1.5395,                 1.4088,                 1.6964,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.5468,                  1.471,                  1.715,                0.82123,                0.48485,                0.65641,                0.36125,                  1.565,                 1.4137,                 1.7141,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.4347,                 1.4265,                 1.6227,                0.72423,                0.52524,                0.64172,                0.35506,                 1.5792,                 1.4318,                 1.7298,               0.000218,               0.000218,               0.000218
                     92,                 1.4129,                 1.3349,                 1.6068,                0.69119,                0.50606,                0.62255,                0.33834,                 1.6109,                 1.4658,                 1.7807,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.4177,                 1.3448,                 1.6032,                0.69054,                0.57576,                0.65879,                0.36389,                 1.5817,                 1.3855,                 1.7394,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.3585,                 1.3054,                 1.5601,                0.68744,                0.57985,                0.66252,                0.35909,                 1.5706,                 1.4009,                 1.7289,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.3815,                 1.3209,                 1.5937,                0.69084,                0.58485,                0.66643,                0.36032,                 1.5938,                 1.4041,                 1.7411,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.3569,                  1.243,                  1.562,                0.73444,                0.54545,                0.66701,                0.37565,                  1.549,                 1.3825,                 1.7098,               0.000119,               0.000119,               0.000119
                     97,                 1.4973,                   1.32,                 1.7484,                0.73146,                0.54848,                0.66192,                0.36703,                 1.5538,                 1.3807,                 1.7107,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.3712,                 1.2483,                 1.5528,                0.72969,                0.55758,                0.66022,                0.36411,                 1.5742,                 1.3921,                  1.723,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                  1.366,                  1.278,                  1.551,                0.72487,                0.55455,                 0.6576,                0.36779,                 1.5498,                 1.3885,                 1.6983,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.3656,                 1.2218,                 1.5655,                0.73832,                0.53864,                0.65782,                0.36731,                 1.5406,                 1.3852,                 1.6964,               3.98e-05,               3.98e-05,               3.98e-05
