                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.6511,                 1.6077,                 1.6599,                0.66637,                0.49091,                0.55255,                0.28894,                 1.6792,                 1.6526,                 1.6918,              0.0011684,              0.0011684,              0.0011684
                     65,                 1.6646,                 1.6308,                  1.671,                 0.5632,                0.51515,                0.56133,                0.28487,                 1.7092,                 1.6361,                 1.7042,              0.0011552,              0.0011552,              0.0011552
                     66,                 1.6348,                 1.5963,                 1.6479,                 0.6373,                0.48182,                0.55366,                 0.2977,                 1.6436,                 1.6325,                 1.6494,               0.001142,               0.001142,               0.001142
                     67,                 1.6509,                 1.5724,                 1.6575,                 0.6473,                0.51212,                0.58059,                0.31952,                 1.6414,                 1.5499,                 1.6612,              0.0011288,              0.0011288,              0.0011288
                     68,                 1.6318,                  1.592,                 1.6296,                0.58881,                 0.5303,                0.55724,                0.28175,                 1.7006,                 1.6079,                 1.6775,              0.0011156,              0.0011156,              0.0011156
                     69,                 1.6076,                 1.5546,                 1.6127,                0.67333,                0.45758,                0.56553,                0.29908,                 1.6365,                 1.5859,                 1.6529,              0.0011024,              0.0011024,              0.0011024
                     70,                 1.6553,                 1.5904,                 1.6495,                0.63176,                0.52121,                0.56717,                0.29119,                 1.6956,                 1.6552,                 1.6673,              0.0010892,              0.0010892,              0.0010892
                     71,                 1.6432,                   1.59,                 1.6269,                0.73656,                0.47447,                0.58403,                0.31117,                 1.6178,                 1.5498,                 1.6334,               0.001076,               0.001076,               0.001076
                     72,                 1.6218,                 1.5701,                 1.6246,                0.69812,                0.50606,                0.57577,                0.30539,                 1.6019,                 1.5572,                 1.6214,              0.0010628,              0.0010628,              0.0010628
                     73,                 1.6038,                 1.5216,                  1.603,                0.59814,                0.50065,                0.55045,                0.28595,                 1.6687,                 1.6577,                 1.6688,              0.0010496,              0.0010496,              0.0010496
                     74,                  1.607,                 1.5395,                 1.6193,                0.62495,                 0.5302,                0.58927,                0.29872,                 1.6776,                 1.5772,                 1.6595,              0.0010364,              0.0010364,              0.0010364
                     75,                 1.6256,                 1.6092,                 1.6294,                0.68832,                0.51818,                0.57785,                0.29556,                 1.6397,                 1.5554,                 1.6322,              0.0010232,              0.0010232,              0.0010232
                     76,                 1.6134,                 1.5498,                 1.5958,                0.60006,                0.47739,                0.54544,                0.30054,                 1.6354,                 1.5843,                 1.6453,                0.00101,                0.00101,                0.00101
                     77,                 1.6423,                 1.5621,                 1.6415,                0.66385,                0.52727,                0.60111,                0.31259,                 1.6284,                  1.535,                 1.6225,              0.0009968,              0.0009968,              0.0009968
                     78,                 1.6192,                 1.5472,                 1.6312,                0.62641,                0.53333,                0.58547,                0.31643,                 1.6225,                 1.4906,                 1.6306,              0.0009836,              0.0009836,              0.0009836
                     79,                 1.5713,                 1.4693,                 1.5752,                0.69259,                    0.5,                0.59085,                 0.3154,                 1.6266,                 1.5312,                 1.6265,              0.0009704,              0.0009704,              0.0009704
                     80,                 1.6051,                 1.4871,                 1.5854,                0.68061,                0.52424,                0.60251,                0.31438,                 1.6154,                 1.5039,                 1.6284,              0.0009572,              0.0009572,              0.0009572
